classes,cohesion,coupling,fitness
18,7.0,4.0,3.0
13,6.0,3.0,3.0
13,6.0,3.0,3.0
19,7.0,4.0,3.0
19,7.0,4.0,3.0
18,7.0,4.0,3.0
17,7.0,4.0,3.0
17,7.0,4.0,3.0
17,7.0,4.0,3.0
17,7.0,4.0,3.0
14,7.0,4.0,3.0
16,7.0,4.0,3.0
12,6.666666666666667,3.6666666666666665,3.0000000000000004
12,6.666666666666667,3.6666666666666665,3.0000000000000004
12,6.666666666666667,3.6666666666666665,3.0000000000000004
11,6.666666666666667,3.6666666666666665,3.0000000000000004
11,6.666666666666667,3.6666666666666665,3.0000000000000004
10,6.666666666666667,3.6666666666666665,3.0000000000000004
9,6.666666666666667,3.6666666666666665,3.0000000000000004
10,6.666666666666667,3.6666666666666665,3.0000000000000004
8,6.666666666666667,3.6666666666666665,3.0000000000000004